

ZA   1002    2H   1H(N,G) E=THERMAL: ^L^A^N^L   
2224.57  1  100  1  0
      2223.26   100



ZA   1003    3H   2H(N,G) E=THERMAL: ^L^A^N^L   
6257.25  1  100  1  0
      6250.3   100




ZA   3007    7LI  6LI(N,G) E=THERMAL: ^L^A^N^L  
7249.96  2  100  1  0
      6768.84   38
      7245.94   62



ZA   3008    8LI  7LI(N,G) E=THERMAL: ^L^A^N^L  
2032.82  2  100  1  0
      1051.95   10.6
      2032.54   89.4



ZA   4010   10BE  9BE(N,G) E=THERMAL: ^L^A^N^L  
6812.37  5  100  1  0
      549.05   0.16
      633.05   0.24
      853.94   23.5
      3443.7   10.6
      6809.88   65.5


ZA   5011   11B   10B(N,G) E=THERMAL: ^L^A^N^L  
11454.1  4  100.1  1  0
      2533.49   14.4
      4711.17   25.6
      7006.75   55.4
      11447.4   4.7



ZA   6013   13C   12C(N,G) E=THERMAL: ^L^A^N^L  
4946.31  3  99.99  1  0
      1261.74   32.36
      1856.72   0.16
      4945.3   67.47



ZA   6014   14C   13C(N,G) E=THERMAL: ^L^A^N^L  
8176.44  4  99.9  1  0
      1273.9   4.9
      1586.8   8.5
      2082.6   2.5
      8173.92   84



ZA   7015   15N   14N(N,G) E=THERMAL: ^L^A^N^L  
10833.2  18  100.709  1  0
      131.44   0.019
      383   0.007
      767.84   0.062
      908.41   0.161
      1073.02   0.088
      1610.79   0.073
      1678.29   7.956
      1681.23   1.643
      1783.63   0.249
      2261.83   0.077
      2520.44   5.578
      3269.2   0.061
      3531.98   8.939
      3677.74   14.517
      4508.73   16.708
      5533.39   19.571
      5562.06   10.682
      10829.1   14.318



ZA   8017   17O   16O(N,G) E=THERMAL: ^L^A^N^L  
4143.33  2  100  1  0
      1087.93   82
      3272.26   18


ZA   8018   18O   17O(N,G) E=THERMAL: ^L^A^N^L  
8037.8  0  0  1  0
ZA   8018   18O   17O(N,G) E=THERMAL: ^L^A^N^L  
8044.4  2  48.9  1  0
      2666.39   11.1
      3588.48   37.8



